experiment_id,model,method,bit_width,paper_id,dataset,metric,paper_value,amd_value,nvidia_value,amd_diff_pct,nvidia_diff_pct,amd_verdict,nvidia_verdict,nvidia_gpu,nvidia_torch_version,nvidia_config_sha256,match_key,stack_matched
2656,facebook/opt-iml-30b,smoothquant,8,smoothquant,piqa,accuracy,,78.4004,,,,no_paper_ref,,,,,,
2656,facebook/opt-iml-30b,smoothquant,8,smoothquant,winogrande,accuracy,,67.9558,,,,no_paper_ref,,,,,,
2634,huggyllama/llama-13b,fp16,16,smoothquant,hellaswag,accuracy,,79.3169,,,,no_paper_ref,,,,,,
2634,huggyllama/llama-13b,fp16,16,smoothquant,lambada,accuracy,,75.6841,,,,no_paper_ref,,,,,,
2634,huggyllama/llama-13b,fp16,16,smoothquant,piqa,accuracy,,79.9238,,,,no_paper_ref,,,,,,
2634,huggyllama/llama-13b,fp16,16,smoothquant,winogrande,accuracy,,73.2439,,,,no_paper_ref,,,,,,
2499,huggyllama/llama-7b,fp16,16,smoothquant,hellaswag,accuracy,,76.0406,,,,no_paper_ref,,,,,,
2499,huggyllama/llama-7b,fp16,16,smoothquant,lambada,accuracy,,73.7629,,,,no_paper_ref,,,,,,
2499,huggyllama/llama-7b,fp16,16,smoothquant,piqa,accuracy,,79.2709,,,,no_paper_ref,,,,,,
2499,huggyllama/llama-7b,fp16,16,smoothquant,winogrande,accuracy,,70.1657,,,,no_paper_ref,,,,,,
2658,huggyllama/llama-7b,smoothquant,8,smoothquant,hellaswag,accuracy,,76.0207,,,,no_paper_ref,,,,,,
2658,huggyllama/llama-7b,smoothquant,8,smoothquant,lambada,accuracy,,73.8405,,,,no_paper_ref,,,,,,
2658,huggyllama/llama-7b,smoothquant,8,smoothquant,piqa,accuracy,,79.3254,,,,no_paper_ref,,,,,,
2658,huggyllama/llama-7b,smoothquant,8,smoothquant,winogrande,accuracy,,70.4025,,,,no_paper_ref,,,,,,
2636,meta-llama/Llama-2-13b-hf,fp16,16,smoothquant,hellaswag,accuracy,,79.6256,,,,no_paper_ref,,,,,,
2636,meta-llama/Llama-2-13b-hf,fp16,16,smoothquant,lambada,accuracy,,76.5379,,,,no_paper_ref,,,,,,
2636,meta-llama/Llama-2-13b-hf,fp16,16,smoothquant,piqa,accuracy,,80.3591,,,,no_paper_ref,,,,,,
2636,meta-llama/Llama-2-13b-hf,fp16,16,smoothquant,winogrande,accuracy,,72.4546,,,,no_paper_ref,,,,,,
2563,meta-llama/Llama-2-13b-hf,smoothquant,8,smoothquant,hellaswag,accuracy,,79.6156,,,,no_paper_ref,,,,,,
2563,meta-llama/Llama-2-13b-hf,smoothquant,8,smoothquant,lambada,accuracy,,76.5379,,,,no_paper_ref,,,,,,
2563,meta-llama/Llama-2-13b-hf,smoothquant,8,smoothquant,piqa,accuracy,,80.5223,,,,no_paper_ref,,,,,,
2563,meta-llama/Llama-2-13b-hf,smoothquant,8,smoothquant,winogrande,accuracy,,72.3757,,,,no_paper_ref,,,,,,
2637,meta-llama/Llama-2-70b-hf,fp16,16,smoothquant,hellaswag,accuracy,,84.3358,,,,no_paper_ref,,,,,,
2637,meta-llama/Llama-2-70b-hf,fp16,16,smoothquant,lambada,accuracy,,79.4683,,,,no_paper_ref,,,,,,
2637,meta-llama/Llama-2-70b-hf,fp16,16,smoothquant,piqa,accuracy,,82.5354,,,,no_paper_ref,,,,,,
2637,meta-llama/Llama-2-70b-hf,fp16,16,smoothquant,winogrande,accuracy,,80.2684,,,,no_paper_ref,,,,,,
2635,meta-llama/Llama-2-7b-hf,fp16,16,smoothquant,hellaswag,accuracy,,76.1800,,,,no_paper_ref,,,,,,
2635,meta-llama/Llama-2-7b-hf,fp16,16,smoothquant,lambada,accuracy,,73.6464,,,,no_paper_ref,,,,,,
2635,meta-llama/Llama-2-7b-hf,fp16,16,smoothquant,piqa,accuracy,,78.7269,,,,no_paper_ref,,,,,,
2635,meta-llama/Llama-2-7b-hf,fp16,16,smoothquant,winogrande,accuracy,,69.4554,,,,no_paper_ref,,,,,,
2562,meta-llama/Llama-2-7b-hf,smoothquant,8,smoothquant,hellaswag,accuracy,,76.1203,,,,no_paper_ref,,,,,,
2562,meta-llama/Llama-2-7b-hf,smoothquant,8,smoothquant,lambada,accuracy,,73.6464,,,,no_paper_ref,,,,,,
2562,meta-llama/Llama-2-7b-hf,smoothquant,8,smoothquant,piqa,accuracy,,78.4548,,,,no_paper_ref,,,,,,
2562,meta-llama/Llama-2-7b-hf,smoothquant,8,smoothquant,winogrande,accuracy,,69.3765,,,,no_paper_ref,,,,,,
2506,mistralai/Mistral-7B-v0.1,fp16,16,smoothquant,hellaswag,accuracy,,81.1591,,,,no_paper_ref,,,,,,
2506,mistralai/Mistral-7B-v0.1,fp16,16,smoothquant,lambada,accuracy,,75.2571,,,,no_paper_ref,,,,,,
2506,mistralai/Mistral-7B-v0.1,fp16,16,smoothquant,piqa,accuracy,,82.5354,,,,no_paper_ref,,,,,,
2506,mistralai/Mistral-7B-v0.1,fp16,16,smoothquant,winogrande,accuracy,,75.3749,,,,no_paper_ref,,,,,,
2567,mistralai/Mistral-7B-v0.1,smoothquant,8,smoothquant,hellaswag,accuracy,,81.2488,,,,no_paper_ref,,,,,,
2567,mistralai/Mistral-7B-v0.1,smoothquant,8,smoothquant,lambada,accuracy,,75.2765,,,,no_paper_ref,,,,,,
2567,mistralai/Mistral-7B-v0.1,smoothquant,8,smoothquant,piqa,accuracy,,82.6442,,,,no_paper_ref,,,,,,
2567,mistralai/Mistral-7B-v0.1,smoothquant,8,smoothquant,winogrande,accuracy,,75.3749,,,,no_paper_ref,,,,,,
2507,mistralai/Mixtral-8x7B-v0.1,fp16,16,smoothquant,hellaswag,accuracy,,84.2063,,,,no_paper_ref,,,,,,
2507,mistralai/Mixtral-8x7B-v0.1,fp16,16,smoothquant,lambada,accuracy,,77.5082,,,,no_paper_ref,,,,,,
2507,mistralai/Mixtral-8x7B-v0.1,fp16,16,smoothquant,piqa,accuracy,,83.2971,,,,no_paper_ref,,,,,,
2507,mistralai/Mixtral-8x7B-v0.1,fp16,16,smoothquant,winogrande,accuracy,,76.8745,,,,no_paper_ref,,,,,,
2662,mistralai/Mixtral-8x7B-v0.1,smoothquant,8,smoothquant,hellaswag,accuracy,,26.1800,,,,no_paper_ref,,,,,,
2662,mistralai/Mixtral-8x7B-v0.1,smoothquant,8,smoothquant,piqa,accuracy,,50.8161,,,,no_paper_ref,,,,,,
2662,mistralai/Mixtral-8x7B-v0.1,smoothquant,8,smoothquant,winogrande,accuracy,,48.6977,,,,no_paper_ref,,,,,,
2575,huggyllama/llama-13b,awq,4,awq,wikitext2,perplexity,5.1900,5.1714,,-0.36,,matching,,,,,,
2512,huggyllama/llama-13b,fp16,16,awq,wikitext2,perplexity,5.0900,5.0907,,0.01,,matching,,,,,,
2664,huggyllama/llama-30b,awq,4,awq,wikitext2,perplexity,4.2100,4.2171,,0.17,,matching,,,,,,
2513,huggyllama/llama-30b,fp16,16,awq,wikitext2,perplexity,4.1000,4.1006,,0.02,,matching,,,,,,
2641,huggyllama/llama-65b,fp16,16,awq,wikitext2,perplexity,3.5300,3.5321,,0.06,,matching,,,,,,
2574,huggyllama/llama-7b,awq,4,awq,wikitext2,perplexity,5.7800,5.8020,5.8444,0.38,-0.7255,matching,match,NVIDIA A10G,2.6.0+cu124,b2824b96b912a741732bb66fe11d2605f7de3857b220695d4223543be394069c,experiment_id,False
2511,huggyllama/llama-7b,fp16,16,awq,wikitext2,perplexity,5.6800,5.6772,5.67706,-0.05,0.0024,matching,match,NVIDIA A10G,2.6.0+cu124,from:2658_smoothquant_w8,loose,False
2666,meta-llama/Llama-2-13b-hf,awq,3,awq,wikitext2,perplexity,5.3200,5.2987,,-0.40,,matching,,,,,,
2572,meta-llama/Llama-2-13b-hf,awq,4,awq,wikitext2,perplexity,4.9700,4.9733,,0.07,,matching,,,,,,
2509,meta-llama/Llama-2-13b-hf,fp16,16,awq,wikitext2,perplexity,4.8800,4.8838,,0.08,,matching,,,,,,
2640,meta-llama/Llama-2-70b-hf,fp16,16,awq,wikitext2,perplexity,3.3200,3.3193,,-0.02,,matching,,,,,,
2578,meta-llama/Llama-2-7b-hf,awq,3,awq,wikitext2,perplexity,6.2400,6.1687,6.74882,-1.14,-8.5959,matching,close,NVIDIA A10G,2.6.0+cu124,457604f76b5dc7bd6e7c9cfef99e95acb3a5d1961427e9bc19a1daa57a658121,experiment_id,False
2569,meta-llama/Llama-2-7b-hf,awq,4,awq,wikitext2,perplexity,5.6000,5.6027,5.65096,0.05,-0.8539,matching,match,NVIDIA A10G,2.9.1+cu128,ecbda335f9a76a3b3ca240599ef8243d0aaf579f21cd7273e0fe527fd2dbec18,experiment_id,True
2508,meta-llama/Llama-2-7b-hf,fp16,16,awq,wikitext2,perplexity,5.4700,5.4721,5.47223,0.04,-0.0024,matching,match,NVIDIA A10G,2.6.0+cu124,from:2578_awq_w3,loose,False
2570,meta-llama/Llama-2-7b-hf,gptq,4,awq,wikitext2,perplexity,5.6900,5.6430,,-0.83,,matching,,,,,,
2571,meta-llama/Llama-2-7b-hf,rtn,4,awq,wikitext2,perplexity,5.7300,5.4721,5.72622,-4.50,-4.4378,close,match,NVIDIA A10G,2.6.0+cu124,6922006eb0363bfd8a737dc8b82c652c0954f67c5db1eeb122948e70ec0fea6b,experiment_id,False
2668,mistralai/Mistral-7B-Instruct-v0.2,awq,4,awq,wikitext2,perplexity,4.3000,6.0589,6.1023,40.90,-0.7112,worse,match,NVIDIA A10G,2.9.1+cu128,64f8d1128650b73f2e46cafab0690bdef231310ce6b67f88f32940ba52efdba0,experiment_id,True
2581,mistralai/Mixtral-8x7B-Instruct-v0.1,awq,4,awq,wikitext2,perplexity,6.0500,4.1976,,-30.62,,better,,,,,,
2642,mistralai/Mixtral-8x7B-Instruct-v0.1,fp16,16,awq,wikitext2,perplexity,5.9400,4.1380,,-30.34,,better,,,,,,
2492,bigscience/bloom-1b1,fp16,16,gptq,c4,perplexity,,22.0478,,,,no_paper_ref,,,,,,
2492,bigscience/bloom-1b1,fp16,16,gptq,wikitext2,perplexity,17.6900,17.6859,17.6844,-0.02,0.0086,matching,match,NVIDIA A10G,2.6.0+cu124,from:2551_gptq_w4,loose,False
2551,bigscience/bloom-1b1,gptq,4,gptq,c4,perplexity,,23.0187,,,,no_paper_ref,,,,,,
2551,bigscience/bloom-1b1,gptq,4,gptq,wikitext2,perplexity,19.0500,18.9244,18.0263,-0.66,4.9820,matching,match,NVIDIA A10G,2.6.0+cu124,b91ff5f93473d011c9f9459f87e5fe9278447bd85059d601e26765a590bfb718,experiment_id,False
2493,bigscience/bloom-1b7,fp16,16,gptq,c4,perplexity,,19.4879,,,,no_paper_ref,,,,,,
2493,bigscience/bloom-1b7,fp16,16,gptq,wikitext2,perplexity,15.3900,15.3871,15.388,-0.02,-0.0059,matching,match,NVIDIA A10G,2.6.0+cu124,from:2552_gptq_w4,loose,False
2552,bigscience/bloom-1b7,gptq,4,gptq,c4,perplexity,,20.2436,,,,no_paper_ref,,,,,,
2552,bigscience/bloom-1b7,gptq,4,gptq,wikitext2,perplexity,16.4800,16.1678,15.5985,-1.89,3.6496,matching,match,NVIDIA A10G,2.6.0+cu124,fd144a5e04e9efed2da11b4b6815d07a09da9521b69ecd0de9ef714fedee855a,experiment_id,False
2494,bigscience/bloom-3b,fp16,16,gptq,c4,perplexity,,17.4819,,,,no_paper_ref,,,,,,
2494,bigscience/bloom-3b,fp16,16,gptq,wikitext2,perplexity,13.4800,13.4804,13.4815,0.00,-0.0080,matching,match,NVIDIA A10G,2.6.0+cu124,from:2553_gptq_w4,loose,False
2553,bigscience/bloom-3b,gptq,4,gptq,c4,perplexity,,17.9958,,,,no_paper_ref,,,,,,
2553,bigscience/bloom-3b,gptq,4,gptq,wikitext2,perplexity,14.2000,13.9920,13.6118,-1.46,2.7934,matching,match,NVIDIA A10G,2.6.0+cu124,4a90260536376163e23b535465c3fb7f2dea604070cf02c76c30554d72b1187b,experiment_id,False
2491,bigscience/bloom-560m,fp16,16,gptq,c4,perplexity,,26.5948,,,,no_paper_ref,,,,,,
2491,bigscience/bloom-560m,fp16,16,gptq,wikitext2,perplexity,22.4200,22.4130,22.4177,-0.03,-0.0212,matching,match,NVIDIA A10G,2.6.0+cu124,from:2550_gptq_w4,loose,False
2550,bigscience/bloom-560m,gptq,4,gptq,c4,perplexity,,27.8033,,,,no_paper_ref,,,,,,
2550,bigscience/bloom-560m,gptq,4,gptq,wikitext2,perplexity,24.0300,23.8147,22.8911,-0.90,4.0349,matching,match,NVIDIA A10G,2.6.0+cu124,f1d61e5965a8bd84fa16f5b3baa8273bf7df6461c1df86e0c13fab164e2fbd6f,experiment_id,False
2495,bigscience/bloom-7b1,fp16,16,gptq,c4,perplexity,,15.1982,,,,no_paper_ref,,,,,,
2652,bigscience/bloom-7b1,gptq,4,gptq,c4,perplexity,,15.5364,,,,no_paper_ref,,,,,,
2652,bigscience/bloom-7b1,gptq,4,gptq,wikitext2,perplexity,11.7300,11.7018,,-0.24,,matching,,,,,,
2484,facebook/opt-1.3b,fp16,16,gptq,c4,perplexity,,16.0701,,,,no_paper_ref,,,,,,
2484,facebook/opt-1.3b,fp16,16,gptq,wikitext2,perplexity,14.6300,14.6243,14.6239,-0.04,0.0025,matching,match,NVIDIA A10G,2.6.0+cu124,from:2584_llmint8_w8,loose,False
2527,facebook/opt-1.3b,gptq,4,gptq,c4,perplexity,,16.7216,,,,no_paper_ref,,,,,,
2527,facebook/opt-1.3b,gptq,4,gptq,wikitext2,perplexity,15.4700,15.4203,14.8604,-0.32,3.7675,matching,match,NVIDIA A10G,2.6.0+cu124,846212f6fea4bd1e6ab56f06253421ba09de5e020152f918a77c46bbdeb14139,experiment_id,False
2544,facebook/opt-1.3b,rtn,4,gptq,c4,perplexity,,16.0701,,,,no_paper_ref,,,,,,
2544,facebook/opt-1.3b,rtn,4,gptq,wikitext2,perplexity,48.1700,14.6243,15.2888,-69.64,-4.3463,better,match,NVIDIA A10G,2.6.0+cu124,19757dc66fe6996e161fc0141b5663d000dcbac62b01f2a31ee1028c5e8caafc,experiment_id,False
2482,facebook/opt-125m,fp16,16,gptq,c4,perplexity,,26.5643,,,,no_paper_ref,,,,,,
2482,facebook/opt-125m,fp16,16,gptq,wikitext2,perplexity,27.6500,27.6543,27.6532,0.02,0.0041,matching,match,NVIDIA A10G,2.6.0+cu124,from:rtn_opt125m__seed43,loose,False
2534,facebook/opt-125m,gptq,3,gptq,c4,perplexity,,41.7791,,,,no_paper_ref,,,,,,
2534,facebook/opt-125m,gptq,3,gptq,wikitext2,perplexity,53.8500,53.4391,35.4262,-0.76,50.8461,matching,worse,NVIDIA A10G,2.6.0+cu124,4afb2edf5e86a712491c66e0710f491c099411ddcfa3ebc5d20540a6113eaa7c,experiment_id,False
2525,facebook/opt-125m,gptq,4,gptq,c4,perplexity,,29.4235,,,,no_paper_ref,,,,,,
2525,facebook/opt-125m,gptq,4,gptq,wikitext2,perplexity,31.1200,32.3321,29.2496,3.89,10.5387,close,worse,NVIDIA A10G,2.9.1+cu128,58d9c59d9300a13ab4812b4085293e04764900e7f2ec0ee0d374afbe5a0d99f1,experiment_id,True
2542,facebook/opt-125m,rtn,4,gptq,c4,perplexity,,26.5643,,,,no_paper_ref,,,,,,
2542,facebook/opt-125m,rtn,4,gptq,wikitext2,perplexity,37.2800,30.4717,30.4717,-18.27,0.0000,better,match,NVIDIA A10G,2.9.1+cu128,3569c33809649fadc6c89e9680a98937cbe70e00780e7e79bdcde0c9f468f85f,experiment_id,True
2487,facebook/opt-13b,fp16,16,gptq,c4,perplexity,,12.0589,,,,no_paper_ref,,,,,,
2547,facebook/opt-13b,rtn,4,gptq,c4,perplexity,,12.0589,,,,no_paper_ref,,,,,,
2547,facebook/opt-13b,rtn,4,gptq,wikitext2,perplexity,11.3200,10.1281,,-10.53,,better,,,,,,
2485,facebook/opt-2.7b,fp16,16,gptq,c4,perplexity,,14.3425,,,,no_paper_ref,,,,,,
2485,facebook/opt-2.7b,fp16,16,gptq,wikitext2,perplexity,12.4700,12.4712,12.4709,0.01,0.0026,matching,match,NVIDIA A10G,2.6.0+cu124,from:2545_rtn_w4,loose,False
2537,facebook/opt-2.7b,gptq,3,gptq,c4,perplexity,,17.5432,,,,no_paper_ref,,,,,,
2537,facebook/opt-2.7b,gptq,3,gptq,wikitext2,perplexity,16.8800,16.7432,13.6074,-0.81,23.0445,matching,worse,NVIDIA A10G,2.6.0+cu124,fb2c7e1ccd4fc721f672a58f4df6c178e4f11c16978455c0bf276c13f7f7a137,experiment_id,False
2528,facebook/opt-2.7b,gptq,4,gptq,c4,perplexity,,14.8505,,,,no_paper_ref,,,,,,
2528,facebook/opt-2.7b,gptq,4,gptq,wikitext2,perplexity,12.8700,12.7342,12.7227,-1.05,0.0904,matching,match,NVIDIA A10G,2.9.1+cu128,07a45ea1cdb28fa6f72e1e8d2c32ff2131a2439ff12af2c72ea3866848d91401,experiment_id,True
2545,facebook/opt-2.7b,rtn,4,gptq,c4,perplexity,,14.3425,,,,no_paper_ref,,,,,,
2545,facebook/opt-2.7b,rtn,4,gptq,wikitext2,perplexity,16.9200,12.4712,13.0239,-26.29,-4.2441,better,match,NVIDIA A10G,2.9.1+cu128,cd01302cbafa1fbdae0040cdfcc53f7c632d1e66ea1fb6e688aa28483edad9fe,experiment_id,True
2488,facebook/opt-30b,fp16,16,gptq,c4,perplexity,,11.4448,,,,no_paper_ref,,,,,,
2488,facebook/opt-30b,fp16,16,gptq,wikitext2,perplexity,9.5600,9.5582,,-0.02,,matching,,,,,,
2650,facebook/opt-30b,rtn,4,gptq,c4,perplexity,,11.4448,,,,no_paper_ref,,,,,,
2650,facebook/opt-30b,rtn,4,gptq,wikitext2,perplexity,10.9800,9.5582,,-12.95,,better,,,,,,
2483,facebook/opt-350m,fp16,16,gptq,c4,perplexity,,22.5895,,,,no_paper_ref,,,,,,
2483,facebook/opt-350m,fp16,16,gptq,wikitext2,perplexity,22.0000,22.0034,22.0037,0.02,-0.0014,matching,match,NVIDIA A10G,2.6.0+cu124,from:2535_gptq_w3,loose,False
2535,facebook/opt-350m,gptq,3,gptq,c4,perplexity,,30.2231,,,,no_paper_ref,,,,,,
2535,facebook/opt-350m,gptq,3,gptq,wikitext2,perplexity,33.7900,32.1962,,-4.72,,close,,,,,,
2526,facebook/opt-350m,gptq,4,gptq,c4,perplexity,,24.1620,,,,no_paper_ref,,,,,,
2526,facebook/opt-350m,gptq,4,gptq,wikitext2,perplexity,24.2400,24.0158,,-0.93,,matching,,,,,,
2543,facebook/opt-350m,rtn,4,gptq,c4,perplexity,,22.5895,,,,no_paper_ref,,,,,,
2543,facebook/opt-350m,rtn,4,gptq,wikitext2,perplexity,25.9400,22.0034,,-15.18,,better,,,,,,
2486,facebook/opt-6.7b,fp16,16,gptq,c4,perplexity,,12.7127,,,,no_paper_ref,,,,,,
2486,facebook/opt-6.7b,fp16,16,gptq,wikitext2,perplexity,10.8600,10.8601,10.8603,0.00,-0.0019,matching,match,NVIDIA A10G,2.6.0+cu124,from:2538_gptq_w3,loose,False
2538,facebook/opt-6.7b,gptq,3,gptq,c4,perplexity,,14.5621,,,,no_paper_ref,,,,,,
2538,facebook/opt-6.7b,gptq,3,gptq,wikitext2,perplexity,14.8600,12.7437,,-14.24,,better,,,,,,
2529,facebook/opt-6.7b,gptq,4,gptq,c4,perplexity,,12.9990,,,,no_paper_ref,,,,,,
2529,facebook/opt-6.7b,gptq,4,gptq,wikitext2,perplexity,11.3900,11.1832,,-1.82,,matching,,,,,,
2546,facebook/opt-6.7b,rtn,4,gptq,c4,perplexity,,12.7127,,,,no_paper_ref,,,,,,
2546,facebook/opt-6.7b,rtn,4,gptq,wikitext2,perplexity,12.1000,10.8601,11.1523,-10.25,-2.6197,better,match,NVIDIA A10G,2.6.0+cu124,adc69607c2e9c8caa9ed14eddf23cc559423f8b4820dfa31eb3977620ae0ec76,experiment_id,False
2629,facebook/opt-66b,fp16,16,gptq,c4,perplexity,,10.9886,,,,no_paper_ref,,,,,,
2629,facebook/opt-66b,fp16,16,gptq,wikitext2,perplexity,9.3400,9.3392,,-0.01,,matching,,,,,,
2518,facebook/opt-1.3b,fp16,16,llmint8,c4,perplexity,15.9100,16.0701,,1.01,,matching,,,,,,
2584,facebook/opt-1.3b,llmint8,8,llmint8,c4,perplexity,15.9300,16.0701,,0.88,,matching,,,,,,
2517,facebook/opt-125m,fp16,16,llmint8,c4,perplexity,25.6500,26.5643,,3.56,,close,,,,,,
2583,facebook/opt-125m,llmint8,8,llmint8,c4,perplexity,25.8300,26.5643,,2.84,,close,,,,,,
2521,facebook/opt-13b,fp16,16,llmint8,c4,perplexity,12.4500,12.0589,,-3.14,,close,,,,,,
2587,facebook/opt-13b,llmint8,8,llmint8,c4,perplexity,12.4500,12.0589,,-3.14,,close,,,,,,
2519,facebook/opt-2.7b,fp16,16,llmint8,c4,perplexity,14.4300,14.3425,,-0.61,,matching,,,,,,
2585,facebook/opt-2.7b,llmint8,8,llmint8,c4,perplexity,14.4400,14.3425,,-0.68,,matching,,,,,,
2520,facebook/opt-6.7b,fp16,16,llmint8,c4,perplexity,13.3000,12.7127,,-4.42,,close,,,,,,
2586,facebook/opt-6.7b,llmint8,8,llmint8,c4,perplexity,13.2400,12.7127,,-3.98,,close,,,,,,
2524,meta-llama/Llama-3.1-8B,fp16,16,paretoq,wikitext2,perplexity,6.1500,6.2398,,1.46,,matching,,,,,,
2633,facebook/opt-iml-30b,fp16,16,smoothquant,wikitext2,perplexity,14.2600,10.5554,,-25.98,,better,,,,,,
2657,facebook/opt-iml-30b,llmint8,8,smoothquant,wikitext2,perplexity,14.2700,10.5554,,-26.03,,better,,,,,,
2656,facebook/opt-iml-30b,smoothquant,8,smoothquant,wikitext2,perplexity,14.3700,10.5604,,-26.51,,better,,,,,,
2634,huggyllama/llama-13b,fp16,16,smoothquant,wikitext2,perplexity,10.0500,5.0907,,-49.35,,better,,,,,,
2658,huggyllama/llama-7b,smoothquant,8,smoothquant,wikitext2,perplexity,11.5600,5.6802,,-50.86,,better,,,,,,
2636,meta-llama/Llama-2-13b-hf,fp16,16,smoothquant,wikitext2,perplexity,4.9500,4.8838,,-1.34,,matching,,,,,,
2563,meta-llama/Llama-2-13b-hf,smoothquant,8,smoothquant,wikitext2,perplexity,4.9290,4.8857,,-0.88,,matching,,,,,,
2637,meta-llama/Llama-2-70b-hf,fp16,16,smoothquant,wikitext2,perplexity,3.3200,3.3193,,-0.02,,matching,,,,,,
2635,meta-llama/Llama-2-7b-hf,fp16,16,smoothquant,wikitext2,perplexity,5.4740,5.4721,5.47223,-0.03,-0.0024,matching,match,NVIDIA A10G,2.6.0+cu124,from:2578_awq_w3,loose,False
2562,meta-llama/Llama-2-7b-hf,smoothquant,8,smoothquant,wikitext2,perplexity,5.5150,5.4749,,-0.73,,matching,,,,,,
2506,mistralai/Mistral-7B-v0.1,fp16,16,smoothquant,wikitext2,perplexity,5.2530,5.2521,5.25245,-0.02,-0.0066,matching,match,NVIDIA A10G,2.6.0+cu124,from:2567_smoothquant_w8,loose,False
2567,mistralai/Mistral-7B-v0.1,smoothquant,8,smoothquant,wikitext2,perplexity,5.2770,5.2523,,-0.47,,matching,,,,,,
2507,mistralai/Mixtral-8x7B-v0.1,fp16,16,smoothquant,wikitext2,perplexity,3.8420,3.8419,,-0.00,,matching,,,,,,
2662,mistralai/Mixtral-8x7B-v0.1,smoothquant,8,smoothquant,wikitext2,perplexity,3.8930,4805887.0000,,123449347.73,,worse,,,,,,
